root,"root node",,0
219,"aldehyde dehydrogenase 1 family member B1",v11_40,1
219,"aldehyde dehydrogenase 1 family member B1",v31_40,1
220,"aldehyde dehydrogenase 1 family member A3",v22_40,1
221,"aldehyde dehydrogenase 3 family member B1",v16_40,1
221,"aldehyde dehydrogenase 3 family member B1",v32_40,1
222,"aldehyde dehydrogenase 3 family member B2",v19_40,1
222,"aldehyde dehydrogenase 3 family member B2",v21_40,1
222,"aldehyde dehydrogenase 3 family member B2",v27_40,1
222,"aldehyde dehydrogenase 3 family member B2",v38_40,1
222,"aldehyde dehydrogenase 3 family member B2",v39_40,1
222,"aldehyde dehydrogenase 3 family member B2",v40_40,1
225,"ATP binding cassette subfamily D member 2",v02_40,1
225,"ATP binding cassette subfamily D member 2",v17_40,1
226,"aldolase, fructose-bisphosphate A",v26_40,1
229,"aldolase, fructose-bisphosphate B",v29_40,1
229,"aldolase, fructose-bisphosphate B",v31_40,1
229,"aldolase, fructose-bisphosphate B",v34_40,1
229,"aldolase, fructose-bisphosphate B",v38_40,1
230,"aldolase, fructose-bisphosphate C",v01_40,1
230,"aldolase, fructose-bisphosphate C",v02_40,1
230,"aldolase, fructose-bisphosphate C",v03_40,1
230,"aldolase, fructose-bisphosphate C",v04_40,1
230,"aldolase, fructose-bisphosphate C",v06_40,1
230,"aldolase, fructose-bisphosphate C",v07_40,1
231,"aldo-keto reductase family 1 member B",v37_40,1
238,"ALK receptor tyrosine kinase",v07_40,1
238,"ALK receptor tyrosine kinase",v35_40,1
239,"arachidonate 12-lipoxygenase, 12S type",v16_40,1
239,"arachidonate 12-lipoxygenase, 12S type",v19_40,1
239,"arachidonate 12-lipoxygenase, 12S type",v27_40,1
240,"arachidonate 5-lipoxygenase",v14_40,1
240,"arachidonate 5-lipoxygenase",v16_40,1
240,"arachidonate 5-lipoxygenase",v32_40,1
241,"arachidonate 5-lipoxygenase activating protein",v16_40,1
241,"arachidonate 5-lipoxygenase activating protein",v32_40,1
247,"arachidonate 15-lipoxygenase type B",v19_40,1
247,"arachidonate 15-lipoxygenase type B",v22_40,1
247,"arachidonate 15-lipoxygenase type B",v39_40,1
248,"alkaline phosphatase, intestinal",v29_40,1
248,"alkaline phosphatase, intestinal",v38_40,1
249,"alkaline phosphatase, biomineralization associated",v34_40,1
249,"alkaline phosphatase, biomineralization associated",v37_40,1
250,"alkaline phosphatase, placental",v21_40,1
250,"alkaline phosphatase, placental",v32_40,1
250,"alkaline phosphatase, placental",v38_40,1
251,"alkaline phosphatase, germ cell",v21_40,1
251,"alkaline phosphatase, germ cell",v38_40,1
259,"alpha-1-microglobulin/bikunin precursor",v29_40,1
259,"alpha-1-microglobulin/bikunin precursor",v31_40,1
259,"alpha-1-microglobulin/bikunin precursor",v38_40,1
262,"adenosylmethionine decarboxylase 1",v21_40,1
262,"adenosylmethionine decarboxylase 1",v22_40,1
268,"anti-Mullerian hormone",v24_40,1
270,"adenosine monophosphate deaminase 1",v26_40,1
270,"adenosine monophosphate deaminase 1",v27_40,1
270,"adenosine monophosphate deaminase 1",v29_40,1
271,"adenosine monophosphate deaminase 2",v35_40,1
272,"adenosine monophosphate deaminase 3",v16_40,1
272,"adenosine monophosphate deaminase 3",v38_40,1
273,"amphiphysin",v01_40,1
273,"amphiphysin",v02_40,1
273,"amphiphysin",v03_40,1
273,"amphiphysin",v06_40,1
273,"amphiphysin",v07_40,1
273,"amphiphysin",v35_40,1
274,"bridging integrator 1",v04_40,1
274,"bridging integrator 1",v26_40,1
275,"aminomethyltransferase",v31_40,1
275,"aminomethyltransferase",v34_40,1
276,"amylase alpha 1A",v29_40,1
276,"amylase alpha 1A",v38_40,1
276,"amylase alpha 1A",v40_40,1
277,"amylase alpha 1B",v29_40,1
277,"amylase alpha 1B",v38_40,1
277,"amylase alpha 1B",v40_40,1
278,"amylase alpha 1C",v29_40,1
278,"amylase alpha 1C",v38_40,1
278,"amylase alpha 1C",v40_40,1
279,"amylase alpha 2A",v29_40,1
279,"amylase alpha 2A",v38_40,1
279,"amylase alpha 2A",v40_40,1
280,"amylase alpha 2B",v29_40,1
280,"amylase alpha 2B",v38_40,1
280,"amylase alpha 2B",v40_40,1
283,"angiogenin",v31_40,1
285,"angiopoietin 2",v21_40,1
286,"ankyrin 1",v02_40,1
286,"ankyrin 1",v03_40,1
286,"ankyrin 1",v16_40,1
286,"ankyrin 1",v25_40,1
286,"ankyrin 1",v26_40,1
286,"ankyrin 1",v27_40,1
288,"ankyrin 3",v21_40,1
312,"annexin A13",v23_40,1
312,"annexin A13",v29_40,1
313,"acyloxyacyl hydrolase",v14_40,1
314,"amine oxidase copper containing 2",v24_40,1
317,"apoptotic peptidase activating factor 1",v14_40,1
317,"apoptotic peptidase activating factor 1",v16_40,1
317,"apoptotic peptidase activating factor 1",v38_40,1
317,"apoptotic peptidase activating factor 1",v40_40,1
318,"nudix hydrolase 2",v38_40,1
319,"apolipoprotein F",v31_40,1
321,"amyloid beta precursor protein binding family A member 2",v01_40,1
321,"amyloid beta precursor protein binding family A member 2",v02_40,1
321,"amyloid beta precursor protein binding family A member 2",v03_40,1
321,"amyloid beta precursor protein binding family A member 2",v04_40,1
321,"amyloid beta precursor protein binding family A member 2",v07_40,1
322,"amyloid beta precursor protein binding family B member 1",v01_40,1
322,"amyloid beta precursor protein binding family B member 1",v02_40,1
322,"amyloid beta precursor protein binding family B member 1",v03_40,1
322,"amyloid beta precursor protein binding family B member 1",v04_40,1
322,"amyloid beta precursor protein binding family B member 1",v07_40,1
324,"APC regulator of WNT signaling pathway",v01_40,1
324,"APC regulator of WNT signaling pathway",v02_40,1
324,"APC regulator of WNT signaling pathway",v03_40,1
324,"APC regulator of WNT signaling pathway",v04_40,1
324,"APC regulator of WNT signaling pathway",v06_40,1
324,"APC regulator of WNT signaling pathway",v07_40,1
324,"APC regulator of WNT signaling pathway",v15_40,1
325,"amyloid P component, serum",v29_40,1
325,"amyloid P component, serum",v31_40,1
325,"amyloid P component, serum",v38_40,1
326,"autoimmune regulator",v38_40,1
330,"baculoviral IAP repeat containing 3",v12_40,1
330,"baculoviral IAP repeat containing 3",v14_40,1
330,"baculoviral IAP repeat containing 3",v15_40,1
330,"baculoviral IAP repeat containing 3",v28_40,1
330,"baculoviral IAP repeat containing 3",v32_40,1
332,"baculoviral IAP repeat containing 5",v15_40,1
332,"baculoviral IAP repeat containing 5",v16_40,1
332,"baculoviral IAP repeat containing 5",v24_40,1
332,"baculoviral IAP repeat containing 5",v30_40,1
332,"baculoviral IAP repeat containing 5",v38_40,1
333,"amyloid beta precursor like protein 1",v01_40,1
333,"amyloid beta precursor like protein 1",v02_40,1
333,"amyloid beta precursor like protein 1",v03_40,1
333,"amyloid beta precursor like protein 1",v04_40,1
333,"amyloid beta precursor like protein 1",v07_40,1
333,"amyloid beta precursor like protein 1",v35_40,1
335,"apolipoprotein A1",v24_40,1
335,"apolipoprotein A1",v29_40,1
335,"apolipoprotein A1",v31_40,1
336,"apolipoprotein A2",v31_40,1
337,"apolipoprotein A4",v29_40,1
338,"apolipoprotein B",v10_40,1
338,"apolipoprotein B",v25_40,1
338,"apolipoprotein B",v29_40,1
338,"apolipoprotein B",v31_40,1
339,"apolipoprotein B mRNA editing enzyme catalytic subunit 1",v29_40,1
341,"apolipoprotein C1",v31_40,1
341,"apolipoprotein C1",v32_40,1
341,"apolipoprotein C1",v37_40,1
343,"aquaporin 8",v29_40,1
343,"aquaporin 8",v30_40,1
343,"aquaporin 8",v38_40,1
344,"apolipoprotein C2",v31_40,1
345,"apolipoprotein C3",v29_40,1
345,"apolipoprotein C3",v31_40,1
346,"apolipoprotein C4",v31_40,1
348,"apolipoprotein E",v31_40,1
350,"apolipoprotein H",v31_40,1
350,"apolipoprotein H",v34_40,1
350,"apolipoprotein H",v38_40,1
354,"kallikrein related peptidase 3",v14_40,1
354,"kallikrein related peptidase 3",v22_40,1
355,"Fas cell surface death receptor",v23_40,1
356,"Fas ligand",v14_40,1
359,"aquaporin 2",v34_40,1
359,"aquaporin 2",v38_40,1
360,"aquaporin 3 (Gill blood group)",v15_40,1
360,"aquaporin 3 (Gill blood group)",v19_40,1
360,"aquaporin 3 (Gill blood group)",v27_40,1
360,"aquaporin 3 (Gill blood group)",v40_40,1
361,"aquaporin 4",v01_40,1
361,"aquaporin 4",v02_40,1
361,"aquaporin 4",v03_40,1
361,"aquaporin 4",v04_40,1
361,"aquaporin 4",v07_40,1
361,"aquaporin 4",v26_40,1
361,"aquaporin 4",v32_40,1
362,"aquaporin 5",v24_40,1
362,"aquaporin 5",v40_40,1
364,"aquaporin 7",v17_40,1
364,"aquaporin 7",v25_40,1
366,"aquaporin 9",v14_40,1
366,"aquaporin 9",v16_40,1
366,"aquaporin 9",v19_40,1
366,"aquaporin 9",v31_40,1
366,"aquaporin 9",v32_40,1
367,"androgen receptor",v20_40,1
367,"androgen receptor",v22_40,1
367,"androgen receptor",v31_40,1
368,"ATP binding cassette subfamily C member 6",v30_40,1
368,"ATP binding cassette subfamily C member 6",v31_40,1
368,"ATP binding cassette subfamily C member 6",v34_40,1
368,"ATP binding cassette subfamily C member 6",v40_40,1
369,"A-Raf proto-oncogene, serine/threonine kinase",v26_40,1
373,"tripartite motif containing 23",v02_40,1
374,"amphiregulin",v19_40,1
374,"amphiregulin",v21_40,1
374,"amphiregulin",v24_40,1
374,"amphiregulin",v27_40,1
374,"amphiregulin",v32_40,1
374,"amphiregulin",v39_40,1
377,"ADP ribosylation factor 3",v01_40,1
377,"ADP ribosylation factor 3",v03_40,1
382,"ADP ribosylation factor 6",v27_40,1
383,"arginase 1",v16_40,1
383,"arginase 1",v19_40,1
383,"arginase 1",v31_40,1
384,"arginase 2",v22_40,1
384,"arginase 2",v34_40,1
391,"ras homolog family member G",v16_40,1
393,"Rho GTPase activating protein 4",v12_40,1
393,"Rho GTPase activating protein 4",v14_40,1
393,"Rho GTPase activating protein 4",v15_40,1
393,"Rho GTPase activating protein 4",v16_40,1
395,"Rho GTPase activating protein 6",v19_40,1
395,"Rho GTPase activating protein 6",v22_40,1
395,"Rho GTPase activating protein 6",v36_40,1
395,"Rho GTPase activating protein 6",v38_40,1
398,"Rho GDP dissociation inhibitor gamma",v01_40,1
398,"Rho GDP dissociation inhibitor gamma",v02_40,1
398,"Rho GDP dissociation inhibitor gamma",v03_40,1
398,"Rho GDP dissociation inhibitor gamma",v06_40,1
399,"ras homolog family member H",v12_40,1
399,"ras homolog family member H",v14_40,1
399,"ras homolog family member H",v15_40,1
399,"ras homolog family member H",v16_40,1
405,"aryl hydrocarbon receptor nuclear translocator",v16_40,1
405,"aryl hydrocarbon receptor nuclear translocator",v21_40,1
405,"aryl hydrocarbon receptor nuclear translocator",v38_40,1
406,"aryl hydrocarbon receptor nuclear translocator like",v15_40,1
407,"arrestin 3",v38_40,1
408,"arrestin beta 1",v32_40,1
409,"arrestin beta 2",v16_40,1
410,"arylsulfatase A",v24_40,1
410,"arylsulfatase A",v40_40,1
412,"steroid sulfatase",v06_40,1
412,"steroid sulfatase",v21_40,1
414,"arylsulfatase D",v22_40,1
414,"arylsulfatase D",v38_40,1
415,"arylsulfatase L",v29_40,1
415,"arylsulfatase L",v30_40,1
415,"arylsulfatase L",v31_40,1
415,"arylsulfatase L",v34_40,1
415,"arylsulfatase L",v38_40,1
417,"ADP-ribosyltransferase 1",v38_40,1
419,"ADP-ribosyltransferase 3 (inactive)",v24_40,1
419,"ADP-ribosyltransferase 3 (inactive)",v25_40,1
419,"ADP-ribosyltransferase 3 (inactive)",v26_40,1
420,"ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)",v16_40,1
420,"ADP-ribosyltransferase 4 (inactive) (Dombrock blood group)",v31_40,1
429,"achaete-scute family bHLH transcription factor 1",v01_40,1
429,"achaete-scute family bHLH transcription factor 1",v02_40,1
429,"achaete-scute family bHLH transcription factor 1",v03_40,1
429,"achaete-scute family bHLH transcription factor 1",v04_40,1
429,"achaete-scute family bHLH transcription factor 1",v07_40,1
429,"achaete-scute family bHLH transcription factor 1",v15_40,1
429,"achaete-scute family bHLH transcription factor 1",v35_40,1
429,"achaete-scute family bHLH transcription factor 1",v38_40,1
430,"achaete-scute family bHLH transcription factor 2",v21_40,1
432,"asialoglycoprotein receptor 1",v02_40,1
432,"asialoglycoprotein receptor 1",v24_40,1
432,"asialoglycoprotein receptor 1",v31_40,1
433,"asialoglycoprotein receptor 2",v31_40,1
434,"agouti signaling protein",v38_40,1
435,"argininosuccinate lyase",v30_40,1
435,"argininosuccinate lyase",v31_40,1
435,"argininosuccinate lyase",v34_40,1
438,"acetylserotonin O-methyltransferase",v38_40,1
439,"guided entry of tail-anchored proteins factor 3, ATPase",v24_40,1
444,"aspartate beta-hydroxylase",v17_40,1
444,"aspartate beta-hydroxylase",v25_40,1
444,"aspartate beta-hydroxylase",v26_40,1
445,"argininosuccinate synthase 1",v31_40,1
445,"argininosuccinate synthase 1",v34_40,1
460,"astrotactin 1",v01_40,1
460,"astrotactin 1",v02_40,1
460,"astrotactin 1",v03_40,1
460,"astrotactin 1",v04_40,1
460,"astrotactin 1",v06_40,1
460,"astrotactin 1",v07_40,1
460,"astrotactin 1",v35_40,1
460,"astrotactin 1",v37_40,1
462,"serpin family C member 1",v31_40,1
472,"ATM serine/threonine kinase",v12_40,1
472,"ATM serine/threonine kinase",v14_40,1
472,"ATM serine/threonine kinase",v15_40,1
473,"arginine-glutamic acid dipeptide repeats",v22_40,1
473,"arginine-glutamic acid dipeptide repeats",v38_40,1
474,"atonal bHLH transcription factor 1",v30_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v01_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v02_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v03_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v06_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v07_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v24_40,1
478,"ATPase Na+/K+ transporting subunit alpha 3",v25_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v01_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v02_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v03_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v04_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v06_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v07_40,1
482,"ATPase Na+/K+ transporting subunit beta 2",v35_40,1
483,"ATPase Na+/K+ transporting subunit beta 3",v37_40,1
486,"FXYD domain containing ion transport regulator 2",v34_40,1
486,"FXYD domain containing ion transport regulator 2",v38_40,1
486,"FXYD domain containing ion transport regulator 2",v40_40,1
487,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",v19_40,1
487,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",v26_40,1
487,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",v27_40,1
487,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1",v29_40,1
488,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2",v24_40,1
488,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2",v26_40,1
489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3",v12_40,1
489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3",v14_40,1
489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3",v15_40,1
489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3",v16_40,1
489,"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3",v40_40,1
490,"ATPase plasma membrane Ca2+ transporting 1",v01_40,1
490,"ATPase plasma membrane Ca2+ transporting 1",v02_40,1
491,"ATPase plasma membrane Ca2+ transporting 2",v01_40,1
491,"ATPase plasma membrane Ca2+ transporting 2",v02_40,1
491,"ATPase plasma membrane Ca2+ transporting 2",v03_40,1
491,"ATPase plasma membrane Ca2+ transporting 2",v26_40,1
491,"ATPase plasma membrane Ca2+ transporting 2",v31_40,1
491,"ATPase plasma membrane Ca2+ transporting 2",v40_40,1
492,"ATPase plasma membrane Ca2+ transporting 3",v01_40,1
492,"ATPase plasma membrane Ca2+ transporting 3",v02_40,1
492,"ATPase plasma membrane Ca2+ transporting 3",v03_40,1
492,"ATPase plasma membrane Ca2+ transporting 3",v06_40,1
495,"ATPase H+/K+ transporting subunit alpha",v28_40,1
495,"ATPase H+/K+ transporting subunit alpha",v37_40,1
495,"ATPase H+/K+ transporting subunit alpha",v38_40,1
496,"ATPase H+/K+ transporting subunit beta",v28_40,1
498,"ATP synthase F1 subunit alpha",v26_40,1
501,"aldehyde dehydrogenase 7 family member A1",v04_40,1
501,"aldehyde dehydrogenase 7 family member A1",v07_40,1
506,"ATP synthase F1 subunit beta",v26_40,1
509,"ATP synthase F1 subunit gamma",v25_40,1
509,"ATP synthase F1 subunit gamma",v26_40,1
513,"ATP synthase F1 subunit delta",v26_40,1
515,"ATP synthase peripheral stalk-membrane subunit b",v26_40,1
516,"ATP synthase membrane subunit c locus 1",v26_40,1
517,"ATP synthase membrane subunit c locus 2",v38_40,1
521,"ATP synthase membrane subunit e",v25_40,1
525,"ATPase H+ transporting V1 subunit B1",v34_40,1
525,"ATPase H+ transporting V1 subunit B1",v40_40,1
528,"ATPase H+ transporting V1 subunit C1",v01_40,1
528,"ATPase H+ transporting V1 subunit C1",v02_40,1
528,"ATPase H+ transporting V1 subunit C1",v03_40,1
534,"ATPase H+ transporting V1 subunit G2",v01_40,1
534,"ATPase H+ transporting V1 subunit G2",v02_40,1
534,"ATPase H+ transporting V1 subunit G2",v03_40,1
534,"ATPase H+ transporting V1 subunit G2",v04_40,1
534,"ATPase H+ transporting V1 subunit G2",v06_40,1
534,"ATPase H+ transporting V1 subunit G2",v07_40,1
540,"ATPase copper transporting beta",v21_40,1
540,"ATPase copper transporting beta",v31_40,1
546,"ATRX chromatin remodeler",v15_40,1
547,"kinesin family member 1A",v01_40,1
547,"kinesin family member 1A",v02_40,1
547,"kinesin family member 1A",v03_40,1
547,"kinesin family member 1A",v04_40,1
547,"kinesin family member 1A",v06_40,1
547,"kinesin family member 1A",v07_40,1
547,"kinesin family member 1A",v35_40,1
551,"arginine vasopressin",v38_40,1
